Participant ID,"Song 1
",Genre Song 1,Lyric Language Song 1,Song 2,Genre Song 2,Lyric Language Song 2,Song 3,Genre Song 3,Lyric Language Song 3,Comment
P01,Broken Coastline - Down Like Silver,new americana,English,Dust to Dust - The Civil Wars,acoustic pop,English,Across the Sea - The Sweeplings,acoustic pop,English,
P02,Whitenoise,,none,Whitenoise,,none,Whitenoise,,none,
"P03
",Someday (triple j Like A Version) - Julia Jacklin,art pop,English,Cómo Me Quires - Khruangbin,indie soul,none,IT WAS MEANT 2 B - KAYTRANADA,alternative r&b,none,
P04,The Blower's Daughter - Damien Rice,acoustic pop,English,Delicate - Damien Rice,acoustic pop,English,"Volcano - Damien Rice
","acoustic pop
",English,"Participant didn't specify the songs only ""anything from Damien Rice's album O or classical music"""
P05,Paris in the Rain - Lauv,pop,English,The Arena - Lindsey Stirling,bow pop,none,"Byte - Martin Garrix, Brooks",big room,none,
P06,From Nowhere - Dan Croll,indie electronica,English,The Look - Metronomy,alternative dance,English,Taro - Alt J,indie rock,English,
P07,Lose Yourself - Eminem,detroit hip hop,English,Just a dream - Nelly,dance pop,English,Not Afraid - Eminem,"detroit hip hop
",English,
P08,Fast & Furious 9: Hobbs and Shaw Soundtrack Mix - Trap & EDM Music,EDM,none,Fast & Furious 9: Hobbs and Shaw Soundtrack Mix - Trap & EDM Music,EDM,none,Fast & Furious 9: Hobbs and Shaw Soundtrack Mix - Trap & EDM Music,EDM,none,
P09,Forever - Tracey Chattaway,background music,none,Why - MEMPHIDOS,ambient psychill,none,Light of the Seven - Ramin Djawadi,german soundtrack,none,
P10,Rebel Rebel - David Bowie,album rock,English,"Bellyache - Billie Eilish
",electropop,English,"Do I wanna know? - Arctic Monkeys
",garage rock,English,
P11,Clean Up Woman - Betty Wright,classic soul,English,"Chilla Iide - Labyrint, Amsie Brown",swedish dancehall,Swedish,Angela - Saian Supa Crew,french hip hop,French,
P12,Señorita - Shawn Mendes,canadian pop,English,Ich geh heut nicht mehr tanzen - AnnenMayKantereit,cologne indie,German,So Low - Bastian Baker,swiss indie,English,
P13,amber - Delayde,chillhop,none,Pure. - Jinsang,chillhop,none,Park Ave Beach - Harris Cole,chillhop,none,
P14,,,,,,,,,,
P15,Brumaire - Fritz Kalkbrenner,dark techno,none,Redemption - ANNA,german house,"English
",Aquarius - Circle of Life,,none,